"date","state_id","weekday","month","year","event_name_1","event_name_2","snap_CA","snap_TX","snap_WI","mean_sell_price","total_sales"
"2011-01-29","CA","Saturday",1,2011,"None","None",0,0,0,4.1089080841639,14195
"2011-01-29","TX","Saturday",1,2011,"None","None",0,0,0,3.99001157072606,9438
"2011-01-29","WI","Saturday",1,2011,"None","None",0,0,0,4.10867567567568,8998
"2011-01-30","CA","Sunday",1,2011,"None","None",0,0,0,4.1089080841639,13805
"2011-01-30","TX","Sunday",1,2011,"None","None",0,0,0,3.99001157072606,9630
"2011-01-30","WI","Sunday",1,2011,"None","None",0,0,0,4.10867567567568,8314
"2011-01-31","CA","Monday",1,2011,"None","None",0,0,0,4.1089080841639,10108
"2011-01-31","TX","Monday",1,2011,"None","None",0,0,0,3.99001157072606,6778
"2011-01-31","WI","Monday",1,2011,"None","None",0,0,0,4.10867567567568,6897
"2011-02-01","CA","Tuesday",2,2011,"None","None",1,1,0,4.1089080841639,11047
"2011-02-01","TX","Tuesday",2,2011,"None","None",1,1,0,3.99001157072606,7381
"2011-02-01","WI","Tuesday",2,2011,"None","None",1,1,0,4.10867567567568,6984
"2011-02-02","CA","Wednesday",2,2011,"None","None",1,0,1,4.1089080841639,9925
"2011-02-02","TX","Wednesday",2,2011,"None","None",1,0,1,3.99001157072606,5912
"2011-02-02","WI","Wednesday",2,2011,"None","None",1,0,1,4.10867567567568,3309
"2011-02-03","CA","Thursday",2,2011,"None","None",1,1,1,4.1089080841639,11322
"2011-02-03","TX","Thursday",2,2011,"None","None",1,1,1,3.99001157072606,9006
"2011-02-03","WI","Thursday",2,2011,"None","None",1,1,1,4.10867567567568,8883
"2011-02-04","CA","Friday",2,2011,"None","None",1,0,0,4.1089080841639,12251
"2011-02-04","TX","Friday",2,2011,"None","None",1,0,0,3.99001157072606,6226
"2011-02-04","WI","Friday",2,2011,"None","None",1,0,0,4.10867567567568,9533
"2011-02-05","CA","Saturday",2,2011,"None","None",1,1,1,4.17756546644845,16610
"2011-02-05","TX","Saturday",2,2011,"None","None",1,1,1,4.07368048268625,9440
"2011-02-05","WI","Saturday",2,2011,"None","None",1,1,1,4.24001221374046,11882
"2011-02-06","CA","Sunday",2,2011,"SuperBowl","None",1,1,1,4.17756546644845,14696
"2011-02-06","TX","Sunday",2,2011,"SuperBowl","None",1,1,1,4.07368048268625,9376
"2011-02-06","WI","Sunday",2,2011,"SuperBowl","None",1,1,1,4.24001221374046,8664
"2011-02-07","CA","Monday",2,2011,"None","None",1,1,0,4.17756546644845,11822
"2011-02-07","TX","Monday",2,2011,"None","None",1,1,0,4.07368048268625,7319
"2011-02-07","WI","Monday",2,2011,"None","None",1,1,0,4.24001221374046,6431
"2011-02-08","CA","Tuesday",2,2011,"None","None",1,0,1,4.17756546644845,10933
"2011-02-08","TX","Tuesday",2,2011,"None","None",1,0,1,4.07368048268625,6224
"2011-02-08","WI","Tuesday",2,2011,"None","None",1,0,1,4.24001221374046,5914
"2011-02-09","CA","Wednesday",2,2011,"None","None",1,1,1,4.17756546644845,10350
"2011-02-09","TX","Wednesday",2,2011,"None","None",1,1,1,4.07368048268625,6740
"2011-02-09","WI","Wednesday",2,2011,"None","None",1,1,1,4.24001221374046,6568
"2011-02-10","CA","Thursday",2,2011,"None","None",1,0,0,4.17756546644845,11204
"2011-02-10","TX","Thursday",2,2011,"None","None",1,0,0,4.07368048268625,6109
"2011-02-10","WI","Thursday",2,2011,"None","None",1,0,0,4.24001221374046,6443
